data,home_team,score,away_team
11-03-2023,Vissel Kobe,0 - 1,Urawa Red Diamonds
18-03-2023,Sagan Tosu,0 - 1,Vissel Kobe
01-04-2023,Kyoto Sanga,0 - 3,Vissel Kobe
09-04-2023,Vissel Kobe,? - ?,Albirex Niigata
17-02-2023,Kawasaki Frontale,1 - 2,Yokohama F-Marinos
25-02-2023,Yokohama F-Marinos,2 - 0,Urawa Red Diamonds
03-03-2023,Yokohama F-Marinos,1 - 1,Sanfrecce Hiroshima
12-03-2023,Consadole Sapporo,2 - 0,Yokohama F-Marinos
18-03-2023,Yokohama F-Marinos,2 - 1,Kashima Antlers
01-04-2023,Cerezo Osaka,2 - 1,Yokohama F-Marinos
08-04-2023,Yokohama F-Marinos,? - ?,Yokohama FC
18-02-2023,Yokohama FC,0 - 1,Nagoya Grampus
24-02-2023,Shonan Bellmare,2 - 2,Yokohama FC
04-03-2023,Yokohama FC,1 - 3,Kashima Antlers
12-03-2023,FC Tokyo,3 - 1,Yokohama FC
18-03-2023,Yokohama FC,1 - 4,Kyoto Sanga
01-04-2023,Yokohama FC,1 - 1,Avispa Fukuoka
08-04-2023,Yokohama F-Marinos,? - ?,Yokohama FC
